position,u_velocity,v_velocity
0.6888454,0.013653907,NaN
0.69080234,0.013832264,NaN
0.6927593,0.01401022,NaN
0.6947162,0.0141879795,NaN
0.6966732,0.014365481,NaN
0.69863015,0.0145426905,NaN
0.7005871,0.014719484,NaN
0.70254403,0.01489607,NaN
0.704501,0.015072326,NaN
0.7064579,0.015248448,NaN
0.70841485,0.015424393,NaN
0.7103718,0.015600118,NaN
0.7123288,0.015775692,NaN
0.71428573,0.015950907,NaN
0.7162427,0.016126052,NaN
0.7181996,0.016300997,NaN
0.72015655,0.01647573,NaN
0.7221135,0.01665036,NaN
0.7240704,0.016824743,NaN
0.72602737,0.01699914,NaN
0.72798437,0.017173389,NaN
0.7299413,0.017347585,NaN
0.73189825,0.017521776,NaN
0.7338552,0.017695853,NaN
0.7358121,0.01786999,NaN
0.73776907,0.018044155,NaN
0.739726,0.018218277,NaN
0.74168295,0.018392472,NaN
0.74363995,0.018566761,NaN
0.7455969,0.018741101,NaN
0.7475538,0.018915616,NaN
0.74951077,0.019090185,NaN
0.7514677,0.019264994,NaN
0.75342464,0.019439993,NaN
0.7553816,0.019615311,NaN
0.7573385,0.019790797,NaN
0.7592955,0.019966647,NaN
0.76125246,0.020142764,NaN
0.7632094,0.020319317,NaN
0.76516634,0.020496143,NaN
0.7671233,0.020673424,NaN
0.7690802,0.020851115,NaN
0.77103716,0.021029262,NaN
0.7729941,0.02120804,NaN
0.7749511,0.02138726,NaN
0.77690804,0.021567075,NaN
0.778865,0.02174751,NaN
0.7808219,0.02192857,NaN
0.78277886,0.02211034,NaN
0.7847358,0.022292854,NaN
0.78669274,0.022476075,NaN
0.7886497,0.022660052,NaN
0.7906067,0.022844823,NaN
0.7925636,0.023030406,NaN
0.79452056,0.02321677,NaN
0.7964775,0.023404097,NaN
0.79843444,0.023592241,NaN
0.8003914,0.023781242,NaN
0.8023483,0.023971163,NaN
0.80430526,0.024162078,NaN
0.80626225,0.024353817,NaN
0.8082192,0.024546597,NaN
0.81017613,0.024740372,NaN
0.8121331,0.024935037,NaN
0.81409,0.025130738,NaN
0.81604695,0.025327336,NaN
0.8180039,0.025524728,NaN
0.81996083,0.025723182,NaN
0.82191783,0.025922365,NaN
0.8238748,0.026122501,NaN
0.8258317,0.026323494,NaN
0.82778865,0.02652526,NaN
0.8297456,0.026727825,NaN
0.83170253,0.026931046,NaN
0.83365947,0.027134797,NaN
0.8356164,0.027339224,NaN
0.8375734,0.02754412,NaN
0.83953035,0.027749412,NaN
0.8414873,0.027955018,NaN
0.8434442,0.0281608,NaN
0.84540117,0.028366854,NaN
0.8473581,0.028572857,NaN
0.84931505,0.028778715,NaN
0.851272,0.028984413,NaN
0.853229,0.029189803,NaN
